"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"349.1",0.693290458439985,0.0100554795539513,3,317,680,0.9
"457",0.64808627176599,0.013877615435225,0,338,662,0.9
"233",0.655698416724217,0.0142824836759739,1,358,641,0.9
"88",0.646596163653747,0.0113291778780218,1,356,643,0.9
"186",0.648701469412637,0.011477066482256,2,354,644,0.9
"237.3",0.679022418645666,0.0119419758884647,3,329,668,0.9
"163",0.674494770421453,0.0144149976372239,0,346,654,0.9
"90",0.664765712306884,0.00747991966948597,13,324,663,0.9
"224.1",0.672793883129079,0.012245250130666,0,313,687,0.9
"98.1",0.648430907838426,0.00927762910959012,5,359,636,0.9
"212",0.663208210207208,0.0105252441018317,0,343,657,0.9
"278",0.658157736711381,0.00990286230602207,3,379,618,0.9
"169",0.677594512863029,0.0103205226528311,1,317,682,0.9
"95",0.663653205800214,0.0116220074334257,1,340,659,0.9
"342.1",0.659698746172842,0.011483253264057,1,333,666,0.9
"151.1",0.654878673128789,0.0109279431535309,1,331,668,0.9
"201",0.641081695151968,0.0128581163326644,0,392,608,0.9
"456.1",0.67565991356129,0.0100591498347642,1,312,687,0.9
"147",0.648861436651793,0.0112242012223786,1,353,646,0.9
"422.1",0.662220991349852,0.00737570267990563,7,324,669,0.9
"169.1",0.677594512863029,0.0103205226528311,1,332,667,0.9
"203.1",0.662866826783552,0.0114659910014004,3,337,660,0.9
"16.1",0.655379371962243,0.0100196823544783,1,352,647,0.9
"127",0.674566461173855,0.0086381985114625,7,320,673,0.9
"23.1",0.668048484620937,0.00814789720382704,9,336,655,0.9
"224.2",0.672793883129079,0.012245250130666,1,308,691,0.9
"108",0.674987954795251,0.0117948828461822,1,334,665,0.9
"64",0.650974678880101,0.012078141155369,1,338,661,0.9
"285.1",0.671071756649892,0.0100649006323415,3,325,672,0.9
"425",0.664555865320286,0.00776593004477495,6,311,683,0.9
"118",0.64763561658282,0.00924739447960237,1,343,656,0.9
"403",0.663205262501927,0.0135446409892575,1,316,683,0.9
"287.1",0.673579341479074,0.012112894675982,1,340,659,0.9
"52",0.648077363226537,0.0160646940904805,0,347,653,0.9
"262",0.680352647160289,0.0101798508268262,2,322,676,0.9
"381.1",0.671708520495229,0.00878892327972134,5,323,672,0.9
"468.2",0.654099869212556,0.0131964137042475,0,316,684,0.9
"303",0.670524176372934,0.00928044810248089,2,304,694,0.9
