X,prop.aneu,prob.meio,prob.mito,dispersal,euploid,mosaic,aneuploid,embryo,first_biopsy_cell,second_biopsy_cell,first_biopsy_type,second_biopsy_type,embryo_type
400084,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400085,0.19921875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
400086,0.30078125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,3,1,Mosaic,Mosaic,Mosaic Aneuploid
400087,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400088,0.12109375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400089,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400090,0.3203125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,2,2,Mosaic,Mosaic,Mosaic Aneuploid
400091,0.08203125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,0,Mosaic,Euploid,Mosaic Aneuploid
400092,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400093,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400094,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400095,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400096,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400097,0.28515625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,0,Mosaic,Euploid,Mosaic Aneuploid
