"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"273",3,0.5059766,0.3640718,0.023774059,0.5,0.27,0.31,0.42
"274",4,0.4710156,0.3029465,0.020169635,0.5,0.37,0.26,0.37
"275",5,0.5620312,0.5059868,0.024681429,0.5,0.24,0.29,0.47
"276",6,0.4483594,0.4012492,0.009892258,0.5,0.48,0.12,0.4
"277",7,0.4564453,0.3549709,0.011487522,0.5,0.46,0.13,0.41
"278",8,0.5367188,0.6080305,0.010187721,0.5,0.37,0.12,0.51
"279",9,0.5769531,0.5814118,0.022522147,0.5,0.24,0.27,0.49
"280",10,0.6350781,0.6622581,0.017669912,0.5,0.22,0.2,0.58
"281",1,0.3271484,0.2901473,0.014492629,0.5,0.49,0.26,0.25
"282",2,0.3478516,0.2788001,0.007351836,0.5,0.54,0.15,0.31
"283",3,0.3459766,0.2760594,0.009219546,0.5,0.56,0.14,0.3
"284",4,0.52125,0.5433122,0.003769222,0.5,0.45,0.05,0.5
"285",5,0.5896875,0.6193632,0.009432868,0.5,0.33,0.11,0.56
"286",6,0.5816016,0.6007487,0.022373256,0.5,0.27,0.22,0.51
"287",7,0.5202734,0.4287075,0.025584092,0.5,0.31,0.29,0.4
"288",8,0.6327734,0.5246915,0.009720913,0.5,0.32,0.07,0.61
"289",9,0.5024609,0.4610459,0.028391892,0.5,0.33,0.29,0.38
"290",10,0.4894531,0.4909562,0.005449369,0.5,0.47,0.06,0.47
"291",1,0.6146484,0.617059,0.001323491,0.5,0.38,0.01,0.61
"292",2,0.3495313,0.2346297,0.008986586,0.5,0.54,0.15,0.31
"293",3,0.6467188,0.6083505,0.02977802,0.5,0.2,0.24,0.56
"294",4,0.5911328,0.4772472,0.030476064,0.5,0.22,0.29,0.49
"295",5,0.6016797,0.5675732,0.018666983,0.5,0.26,0.19,0.55
"296",6,0.4259375,0.354455,0.013691284,0.5,0.49,0.14,0.37
"297",7,0.6299219,0.5631284,0.022845394,0.5,0.18,0.27,0.55
"298",8,0.6117578,0.4261471,0.023266105,0.5,0.19,0.29,0.52
"299",9,0.3855859,0.3301337,0.020491856,0.5,0.41,0.32,0.27
"300",10,0.6276953,0.5347125,0.013705934,0.5,0.28,0.14,0.58
"301",1,0.5337891,0.4161874,0.02246294,0.5,0.27,0.29,0.44
"302",2,0.6428125,0.38816236,0.06503118,0.5,0.08,0.52,0.4
"303",3,0.6183984,0.44424992,0.04876925,0.5,0.11,0.45,0.44
"304",4,0.6629687,0.45087724,0.0605089,0.5,0.04,0.52,0.44
"305",5,0.4548437,0.41748741,0.01116113,0.5,0.4,0.19,0.41
"306",6,0.8071484,0.04992894,0.18615883,0.5,0,0.58,0.42
"307",7,0.8030469,0.1747227,0.17348706,0.5,0,0.56,0.44
"308",8,0.7446094,0.25903729,0.10938987,0.5,0,0.58,0.42
"309",9,0.5909766,0.39427578,0.04478448,0.5,0.16,0.44,0.4
"310",10,0.5255859,0.4220134,0.02535471,0.5,0.31,0.28,0.41
"311",1,0.6152344,0.4925501,0.028447531,0.5,0.23,0.28,0.49
"312",2,0.3726953,0.3710128,0.000737319,0.5,0.63,0,0.37
"313",3,0.6983203,0.6316022,0.01936983,0.5,0.19,0.17,0.64
"314",4,0.5484766,0.5277783,0.00328162,0.5,0.43,0.03,0.54
"315",5,0.5602734,0.5365797,0.002271082,0.5,0.42,0.03,0.55
"316",6,0.6348828,0.5524047,0.035877189,0.5,0.13,0.34,0.53
"317",7,0.5685547,0.5453993,0.023207088,0.5,0.23,0.29,0.48
"318",8,0.5655859,0.5043514,0.010418691,0.5,0.35,0.13,0.52
"319",9,0.4982813,0.4377787,0.023202226,0.5,0.34,0.27,0.39
"320",10,0.730625,0.5965597,0.054337839,0.5,0.08,0.34,0.58
"321",1,0.4975781,0.4692038,0.016651999,0.5,0.35,0.23,0.42
"322",2,0.6914453,0.7259677,0.033669071,0.5,0.13,0.27,0.6
"323",3,0.3661719,0.3264145,0.008950321,0.5,0.51,0.17,0.32
"324",4,0.6341406,0.5877,0.020037173,0.5,0.24,0.19,0.57
"325",5,0.6588281,0.5554544,0.035153207,0.5,0.17,0.27,0.56
"326",6,0.4078906,0.4058457,0.007053792,0.5,0.47,0.16,0.37
"327",7,0.4964844,0.389972,0.02333479,0.5,0.32,0.27,0.41
"328",8,0.6591797,0.4185127,0.04263421,0.5,0.13,0.35,0.52
"329",9,0.7035938,0.6705083,0.033119336,0.5,0.12,0.26,0.62
"330",10,0.5888281,0.4870764,0.026023724,0.5,0.24,0.27,0.49
"331",1,0.6481641,0.5361749,0.020365024,0.5,0.27,0.13,0.6
"332",2,0.6139062,0.580185,0.004704301,0.5,0.34,0.06,0.6
"333",3,0.6397656,0.6412361,0.014745343,0.5,0.28,0.13,0.59
"334",4,0.3290234,0.3477501,0.010403069,0.5,0.54,0.18,0.28
"335",5,0.395,0.339205,0.00675112,0.5,0.54,0.1,0.36
"336",6,0.3572656,0.3213732,0.00390395,0.5,0.61,0.05,0.34
"337",7,0.6307812,0.5734364,0.026131772,0.5,0.22,0.21,0.57
"338",8,0.5129297,0.3115901,0.024247099,0.5,0.26,0.35,0.39
"339",9,0.4864453,0.4998388,0.01051127,0.5,0.45,0.1,0.45
"340",10,0.4830469,0.4477863,0.008011358,0.5,0.47,0.08,0.45
"341",1,0.6079687,0.5816814,0.005000721,0.5,0.33,0.08,0.59
"342",2,0.6305078,0.541984,0.019673323,0.5,0.27,0.15,0.58
"343",3,0.5510156,0.4537534,0.028990651,0.5,0.26,0.31,0.43
"344",4,0.5970703,0.5002293,0.023259928,0.5,0.24,0.24,0.52
"345",5,0.4303125,0.4011174,0.023865107,0.5,0.36,0.32,0.32
"346",6,0.6729297,0.6788998,0.031682393,0.5,0.15,0.27,0.58
"347",7,0.6715234,0.6494924,0.029550074,0.5,0.11,0.31,0.58
"348",8,0.4927344,0.4317057,0.024913585,0.5,0.23,0.37,0.4
"349",9,0.5889453,0.4865911,0.028847861,0.5,0.19,0.34,0.47
"350",10,0.4283203,0.3899005,0.006807424,0.5,0.52,0.08,0.4
"351",1,0.5240234,0.3803381,0.018564199,0.5,0.31,0.25,0.44
"352",2,0.6017187,0.5162386,0.014317729,0.5,0.34,0.1,0.56
"353",3,0.5085937,0.3990236,0.018025452,0.5,0.34,0.22,0.44
"354",4,0.4194531,0.4577699,0.006587532,0.5,0.47,0.14,0.39
"355",5,0.3433594,0.3421714,0.011698834,0.5,0.48,0.24,0.28
