"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"701",1,0.4695703,0.4307332,0.01366851,0,0.49,0.09,0.42
"702",2,0.5398047,0.4917986,0.03142762,0,0.41,0.11,0.48
"703",3,0.6096094,0.3264918,0.05320442,0,0.28,0.29,0.43
"704",4,0.470625,0.3368289,0.03042761,0,0.43,0.21,0.36
"705",5,0.5705469,0.2504386,0.05189395,0,0.29,0.27,0.44
"706",6,0.5565234,0.5165157,0.01818683,0,0.41,0.09,0.5
"707",7,0.5453516,0.2531912,0.05228529,0,0.41,0.25,0.34
"708",8,0.6124609,0.4100918,0.05435932,0,0.29,0.28,0.43
"709",9,0.4457813,0.3200549,0.02388126,0,0.48,0.16,0.36
"710",10,0.5292969,0.4401315,0.03474439,0,0.36,0.24,0.4
"711",1,0.4941797,0.3191985,0.02768063,0,0.36,0.27,0.37
"712",2,0.6067969,0.4914155,0.03022335,0,0.33,0.14,0.53
"713",3,0.6524219,0.3571879,0.04766262,0,0.21,0.24,0.55
"714",4,0.5401953,0.4459458,0.03006762,0,0.45,0.12,0.43
"715",5,0.5848828,0.1876708,0.07141976,0,0.32,0.29,0.39
"716",6,0.5209766,0.4003239,0.02471394,0,0.46,0.09,0.45
"717",7,0.5800391,0.3703111,0.03291363,0,0.34,0.21,0.45
"718",8,0.3991406,0.3006776,0.01265463,0,0.51,0.14,0.35
"719",9,0.4354688,0.3801787,0.01880215,0,0.49,0.15,0.36
"720",10,0.603125,0.3747429,0.0574055,0,0.29,0.26,0.45
"721",1,0.5614062,0.3775375,0.04045374,0,0.39,0.22,0.39
"722",2,0.5922266,0.4764218,0.03647346,0,0.33,0.2,0.47
"723",3,0.4405078,0.3499134,0.02703296,0,0.43,0.24,0.33
"724",4,0.5526953,0.3998992,0.04599424,0,0.28,0.29,0.43
"725",5,0.5177734,0.4846843,0.01974573,0,0.4,0.13,0.47
"726",6,0.3864063,0.2267383,0.01576032,0,0.53,0.13,0.34
"727",7,0.5082813,0.3184405,0.04473596,0,0.39,0.27,0.34
"728",8,0.6415234,0.4003789,0.05191793,0,0.3,0.19,0.51
"729",9,0.5685547,0.3726643,0.04111311,0,0.34,0.21,0.45
"730",10,0.4552734,0.3986925,0.01360566,0,0.47,0.11,0.42
"731",1,0.5471484,0.4225336,0.03538919,0,0.4,0.15,0.45
"732",2,0.6376172,0.4318034,0.04617273,0,0.24,0.25,0.51
"733",3,0.4223438,0.3329238,0.01554715,0,0.48,0.14,0.38
"734",4,0.6378906,0.3998661,0.04587783,0,0.3,0.21,0.49
"735",5,0.5635547,0.2876477,0.0531155,0,0.33,0.28,0.39
"736",6,0.6251172,0.4588139,0.03114565,0,0.29,0.18,0.53
"737",7,0.4846094,0.2232875,0.04096492,0,0.45,0.23,0.32
"738",8,0.4970312,0.3867417,0.03402467,0,0.44,0.21,0.35
"739",9,0.4469531,0.2313744,0.02845894,0,0.46,0.21,0.33
"740",10,0.51875,0.2874688,0.02941869,0,0.39,0.2,0.41
"741",1,0.4171875,0.4112478,0.01302338,0,0.51,0.13,0.36
