"","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"2020",0.5049108,0.0128852108,1,0.27,0.22,0.51
"2021",0.5354722,0.003430614,1,0.42,0.07,0.51
"2022",0.3630523,0.006978419,1,0.55,0.16,0.29
"2023",0.6147556,0.001513563,1,0.39,0.02,0.59
"2024",0.5490769,0.018976289,1,0.25,0.26,0.49
"2025",0.1523487,0.013582654,1,0.49,0.32,0.19
"2026",0.4548599,0.035363318,1,0.14,0.28,0.58
"2027",0.3080229,0.021171884,1,0.29,0.35,0.36
"2028",0.5286415,0.01655919,1,0.18,0.22,0.6
"2029",0.5315604,0.016067117,1,0.27,0.24,0.49
"2030",0.7130476,0.004613067,1,0.27,0.03,0.7
"2031",0.5685152,0.019066213,1,0.23,0.3,0.47
"2032",0.3112894,0.006901973,1,0.57,0.09,0.34
"2033",0.4131887,0.019605704,1,0.28,0.27,0.45
"2034",0.5069984,0.017270246,1,0.33,0.17,0.5
"2035",0.5199588,0.002097331,1,0.47,0.04,0.49
"2036",0.4338304,0.01462762,1,0.35,0.24,0.41
"2037",0.5854693,0.001045751,1,0.44,0,0.56
"2038",0.3802593,0.002818797,1,0.53,0.08,0.39
"2039",0.3575166,0.015013291,1,0.34,0.37,0.29
"2040",0.3179541,0.011202084,1,0.43,0.23,0.34
"2041",0.5273554,0.020669254,1,0.27,0.21,0.52
"2042",0.3994445,0.01148728,1,0.32,0.25,0.43
"2043",0.6663861,0.024870191,1,0.16,0.21,0.63
"2044",0.3882529,0.014768852,1,0.36,0.24,0.4
"2045",0.2672794,0.003517236,1,0.65,0.06,0.29
"2046",0.4262079,0.023493458,1,0.21,0.37,0.42
"2047",0.5222849,0.027292249,1,0.19,0.31,0.5
"2048",0.6636541,0.023406075,1,0.16,0.28,0.56
"2049",0.5292691,0.028457914,1,0.17,0.31,0.52
"2050",0.395958,0.028670178,1,0.16,0.37,0.47
"2051",0.3592644,0.002439752,1,0.53,0.05,0.42
"2052",0.5209621,0.013989125,1,0.23,0.25,0.52
"2053",0.1193475,0.014566251,1,0.47,0.37,0.16
"2054",0.3683251,0.013935195,1,0.38,0.25,0.37
"2055",0.6335773,0.017482988,1,0.21,0.16,0.63
"2056",0.3955832,0.035851706,1,0.14,0.43,0.43
"2057",0.6925926,0.007140147,1,0.24,0.08,0.68
"2058",0.1653967,0.012325388,1,0.52,0.33,0.15
"2059",0.4827513,0.018343647,1,0.2,0.26,0.54
"2060",0.1581496,0.008035446,1,0.49,0.27,0.24
"2061",0.1762331,0.009693624,1,0.55,0.23,0.22
"2062",0.425985,0.0127269893,1,0.32,0.24,0.44
"2063",0.4635914,0.0031640872,1,0.52,0.03,0.45
"2064",0.3601732,0.017581952,1,0.22,0.4,0.38
"2065",0.3899046,0.0007523193,1,0.6,0,0.4
