"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"363",0.387660104096535,0.077373617405374,0,609,391,0.2
"467",0.383808122638506,0.0723548068626128,0,586,414,0.2
"471",0.380776928950418,0.0762963663524324,0,617,383,0.2
"468",0.386559333772107,0.0753387284821849,0,610,390,0.2
"163.3",0.333578358005514,0.0843995016552981,0,654,346,0.2
"371.1",0.300933432812925,0.0784536733289968,0,669,331,0.2
"345.1",0.331472896925748,0.0832800950784667,0,659,341,0.2
"14",0.335386343172633,0.0802903487961444,0,654,346,0.2
"152.1",0.386431731662908,0.0739004776664216,0,599,401,0.2
"400",0.355570691584627,0.0814695744450192,0,611,389,0.2
"506.2",0.398104347207916,0.0662180104802979,0,612,388,0.2
"524.1",0.33055353690101,0.0824525150749468,0,671,329,0.2
"125.1",0.343279881381871,0.0816021099155917,0,676,324,0.2
"32",0.36616924337868,0.079996926462745,0,661,339,0.2
"230",0.325995412197816,0.0789347243970929,0,673,327,0.2
"21",0.376436051581472,0.0743197853448291,0,622,378,0.2
"23",0.356198007096172,0.0846263108326315,0,640,360,0.2
"198",0.381640466741423,0.0809815273847952,0,647,353,0.2
"232.1",0.326385472371864,0.0828551337759021,0,677,323,0.2
"52",0.368206580056546,0.0760060487668846,0,634,366,0.2
"330.1",0.394692566561659,0.0656655933705707,0,611,389,0.2
"189.2",0.363704461137818,0.0732338213307683,0,619,381,0.2
"291",0.30046810782592,0.0858184564666425,0,701,299,0.2
"158.1",0.300654160687238,0.0837054851474941,0,710,290,0.2
"131.2",0.391817545642531,0.0627535815180428,0,599,401,0.2
"102.2",0.366571209757944,0.0745692061171507,0,649,351,0.2
"67.2",0.369729864041709,0.0771042940453037,0,630,370,0.2
"387",0.378876099315956,0.0671757732109551,0,624,376,0.2
"239.1",0.32210330767436,0.0835340662163942,0,683,317,0.2
"451",0.268163757084341,0.0881485170411202,0,733,267,0.2
"475",0.342036772130047,0.0779107680764731,0,653,347,0.2
"57",0.367507477270364,0.0820678845780131,0,596,404,0.2
"306",0.272173326085386,0.0931406057437669,0,746,254,0.2
"193.6",0.331325669643339,0.0817138304572771,0,681,319,0.2
"499",0.322966142399488,0.0791482729218292,0,686,314,0.2
"361.1",0.396813167333747,0.0742176312735207,0,610,390,0.2
"210",0.321233366256608,0.0820834649597822,0,658,342,0.2
"158.2",0.300654160687238,0.0837054851474941,0,717,283,0.2
"335.1",0.363761880690692,0.071783685279724,0,644,356,0.2
"356.1",0.372564446594036,0.079998452171716,0,635,365,0.2
"29.1",0.416159483902558,0.0688454413819497,0,564,436,0.2
"81",0.334980902812564,0.0791354326459214,0,684,316,0.2
"458.1",0.360692719192704,0.0753081946740915,0,630,370,0.2
"313.4",0.281036220553202,0.0914484500818438,0,691,309,0.2
"81.1",0.334980902812564,0.0791354326459214,0,655,345,0.2
"271",0.402775960020089,0.0794956447247848,0,598,402,0.2
"387.1",0.378876099315956,0.0671757732109551,0,600,400,0.2
"320.3",0.391418172753698,0.0741320914587879,0,610,390,0.2
"79.2",0.373783579954204,0.0763801618411724,0,646,354,0.2
"52.1",0.368206580056546,0.0760060487668846,0,625,375,0.2
"114",0.325182851945596,0.086672341946977,0,640,360,0.2
"333",0.387233018183881,0.0748402174652365,0,623,377,0.2
"260",0.345283211695871,0.0762919837485936,0,653,347,0.2
"404.1",0.329971314240161,0.0818016789418822,0,672,328,0.2
"76",0.41508616663026,0.0707734731158469,0,593,407,0.2
"315.2",0.324881390685458,0.0908074222500242,0,669,331,0.2
"442",0.351001530889641,0.0771524346178261,0,630,370,0.2
"355",0.323429071439695,0.0760935648791344,0,656,344,0.2
"392.1",0.344527178519404,0.0825770077054293,0,659,341,0.2
"167",0.352470356761831,0.083755168480063,0,649,351,0.2
"356.2",0.372564446594036,0.079998452171716,0,621,379,0.2
"100.1",0.409175042061729,0.067671223370026,0,601,399,0.2
"403.1",0.316131744565233,0.0821794982242796,0,682,318,0.2
"500",0.29158004104328,0.0797141985318833,0,699,301,0.2
"343.1",0.381816462167554,0.0692797585913205,0,620,380,0.2
"512",0.331689021538582,0.0877267431171888,0,672,328,0.2
"112",0.353681213991098,0.0778868590535663,0,601,399,0.2
"396.1",0.287300476713495,0.0902782867340244,0,683,317,0.2
"70.1",0.339158662082469,0.0812088291797045,0,657,343,0.2
"408",0.368668084487207,0.0866611515862692,0,616,384,0.2
"210.1",0.321233366256608,0.0820834649597822,0,663,337,0.2
"453.2",0.387513662886129,0.0743307726569636,0,612,388,0.2
"163.4",0.333578358005514,0.0843995016552981,0,667,333,0.2
"151",0.347646602375248,0.0781164762859807,0,640,360,0.2
"84",0.387257690681334,0.0732998493765117,0,609,391,0.2
"12.2",0.331226128074216,0.0750089787936956,0,681,319,0.2
"507.1",0.398449850546498,0.0755987742774392,0,617,383,0.2
"356.3",0.372564446594036,0.079998452171716,0,648,352,0.2
"287",0.327093512247801,0.0834795792210756,0,645,355,0.2
"95",0.375102965233171,0.0857631817994146,0,640,360,0.2
"362.1",0.352788606002862,0.0793503339741831,0,660,340,0.2
"216.1",0.395419268507596,0.0740706409047298,0,590,410,0.2
