"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"319",9,0.5244531,0.466683,0.02299002,0.15699004,0.38,0.18,0.44
"320",10,0.4953125,0.4520926,0.01913675,0.20602041,0.39,0.2,0.41
"321",1,0.50625,0.4042695,0.02130435,0.30824111,0.4,0.19,0.41
"322",2,0.5320703,0.3817659,0.02429536,0.06309411,0.4,0.17,0.43
"323",3,0.4941406,0.4576775,0.02075831,0.31711165,0.39,0.2,0.41
"324",4,0.5099609,0.4909185,0.02375439,0.06526065,0.39,0.2,0.41
"325",5,0.5113672,0.4456063,0.02191101,0.09922536,0.39,0.17,0.44
"326",6,0.4947656,0.383763,0.01999966,0.11841966,0.38,0.2,0.42
"327",7,0.5071094,0.4703727,0.02128636,0.05373653,0.39,0.19,0.42
"328",8,0.4743359,0.4268143,0.01959448,0.58246717,0.4,0.19,0.41
"329",9,0.5146484,0.4690607,0.02394861,0.04671177,0.38,0.18,0.44
"330",10,0.4930859,0.4780179,0.02120963,0.65118231,0.38,0.2,0.42
"331",1,0.4960938,0.4613628,0.01964201,0.013788243,0.4,0.17,0.43
"332",2,0.5172266,0.3641749,0.02239204,0.201342701,0.38,0.2,0.42
"333",3,0.4874219,0.3983411,0.01993042,0.510593489,0.4,0.18,0.42
"334",4,0.5214453,0.4043045,0.02145034,0.081012867,0.4,0.17,0.43
"335",5,0.5225781,0.4279558,0.02290285,0.038661918,0.38,0.2,0.42
"336",6,0.5064062,0.4064988,0.02156483,0.102478396,0.4,0.18,0.42
"337",7,0.5178125,0.3983475,0.02223287,0.008271191,0.4,0.17,0.43
"338",8,0.5161328,0.4221128,0.02340383,0.049216413,0.4,0.17,0.43
